"sex","birth","marriage","religion","income"
2,1974,1,2,262
2,2004,0,2,NA
2,2006,0,2,NA
1,1969,1,2,465
2,1973,1,1,491.6
2,2000,0,2,NA
1,2003,0,2,NA
2,1943,3,2,79.3
1,1969,1,2,570.4
2,1972,1,2,185
2,2000,0,2,NA
2,2002,0,2,NA
1,1975,1,2,371.9
2,1976,1,2,NA
1,2004,0,2,NA
1,2009,0,2,NA
2,1939,2,1,NA
1,1969,5,1,NA
1,1956,1,2,NA
2,1958,1,2,NA
2,1963,5,2,NA
1,1948,1,2,NA
2,1954,1,2,NA
2,1979,1,2,NA
1,1979,1,2,311.5
2,2011,0,2,NA
1,2013,0,2,NA
1,1957,1,1,262.5
2,1955,1,1,NA
1,1968,1,2,526.7
2,1971,1,1,NA
1,1999,0,1,NA
1,1958,2,1,NA
2,1990,5,1,333.3
1,1993,5,1,NA
1,1955,1,1,450
2,1962,1,1,180
2,1986,5,1,120
1,1990,5,1,NA
2,1950,5,2,NA
1,1933,1,1,NA
2,1939,1,1,NA
1,1965,5,1,NA
2,1940,2,1,NA
1,1942,3,1,NA
1,1975,1,2,478.4
2,1980,1,2,NA
1,2007,0,2,NA
2,2009,0,2,NA
1,1952,1,1,NA
2,1960,1,1,NA
1,1984,5,1,NA
1,1935,1,2,NA
2,1942,1,1,NA
1,1973,1,1,NA
2,1976,1,1,NA
1,1935,1,2,NA
2,1941,1,2,NA
1,1926,2,2,NA
1,1949,1,1,NA
2,1955,1,1,NA
2,1990,5,1,265.4
1,1937,1,1,NA
2,1936,1,1,NA
2,1988,5,2,NA
2,1990,5,1,225
2,1992,5,1,NA
1,1954,1,2,280
2,1960,1,1,NA
2,1934,2,1,NA
1,1963,5,1,NA
1,1968,5,2,NA
2,1945,2,2,NA
2,1991,5,2,NA
1,1970,5,2,NA
1,1970,5,2,NA
1,1975,1,2,352
2,1968,1,2,NA
2,2005,0,2,NA
2,2007,0,2,NA
2,1971,5,2,357.5
1,1946,1,1,NA
2,1951,1,1,NA
2,1979,1,1,404.2
1,1978,1,1,445.8
2,2007,0,1,NA
1,2010,0,1,NA
1,1945,1,1,NA
2,1951,1,1,132
1,1982,1,2,NA
2,1990,1,2,100
1,1967,1,2,205
2,1970,1,2,111.2
1,1995,5,2,NA
2,1999,0,2,NA
2,1933,2,1,NA
1,1947,1,1,NA
2,1942,1,1,NA
1,1993,5,2,NA
2,1995,5,2,132.5
2,1942,2,2,NA
1,1961,5,2,NA
1,1932,1,2,NA
2,1939,1,2,NA
2,1978,5,2,260.5
1,1983,5,1,160
2,1927,2,2,NA
1,1945,1,2,NA
2,1951,1,2,NA
2,1965,3,2,235
2,1986,5,2,190
1,1969,1,2,NA
2,1930,2,2,NA
2,1992,1,2,NA
2,2014,0,2,NA
1,1945,1,2,NA
2,1949,1,2,NA
1,1968,1,2,NA
2,1969,1,2,NA
1,1997,5,2,NA
1,1959,1,1,291.5
2,1960,1,1,NA
2,1986,1,2,NA
1,1980,1,2,NA
2,1964,3,1,164.5
1,1962,1,1,150
2,1965,1,1,NA
2,1991,5,1,NA
1,1965,1,2,NA
2,1965,1,2,NA
2,1992,5,2,NA
2,1996,5,2,NA
1,1964,1,1,350
2,1966,1,1,142
1,1990,5,1,NA
2,1997,5,1,NA
2,1953,3,1,NA
2,1936,2,1,NA
1,1951,3,2,NA
2,1980,5,2,300
2,1944,2,1,NA
1,1950,1,2,NA
2,1954,1,2,NA
2,1984,1,2,200
2,1987,5,2,200
1,1978,1,2,411
2,2014,0,2,NA
2,1960,3,1,85
2,1992,5,1,125
2,1995,5,1,NA
2,1974,1,1,166
1,1975,1,1,NA
1,1968,1,2,437
2,1971,1,2,150
2,1997,5,2,NA
1,1969,1,2,677.5
2,1970,1,2,NA
2,2002,0,2,NA
1,1958,1,1,260
2,1958,1,2,NA
2,1960,4,1,120
2,1984,5,2,NA
1,1957,1,2,NA
2,1960,1,2,NA
2,1995,5,2,292.5
2,1995,5,2,182.1
1,1968,1,1,NA
2,1971,1,1,62
1,1998,0,1,NA
1,2001,0,1,NA
1,1952,1,1,273
2,1952,1,1,NA
2,1978,1,1,405
2,1983,5,1,NA
1,1975,1,1,333.3
1,2008,0,1,NA
2,2010,0,1,NA
1,1953,1,2,NA
2,1960,1,1,NA
2,1980,1,1,NA
1,1979,1,1,583.3
2,2010,0,1,NA
1,1958,1,2,NA
2,1965,1,2,NA
2,1993,5,2,NA
2,1996,5,2,NA
2,1932,2,1,NA
1,1939,1,2,NA
2,1947,1,2,NA
2,1945,2,1,NA
2,1930,2,1,NA
2,1938,2,1,NA
2,1940,2,1,NA
1,1966,3,1,NA
2,1995,5,1,NA
2,1996,5,1,NA
2,1949,2,1,NA
2,1945,2,2,NA
2,1930,2,1,NA
1,1935,1,1,NA
2,1937,1,1,NA
2,1956,3,2,NA
2,1988,5,2,NA
1,1932,1,2,NA
2,1942,1,1,NA
1,1950,1,1,NA
2,1957,1,1,NA
1,1980,1,2,327.5
1,1982,5,1,333.3
2,1982,1,2,83.3
2,1970,2,1,165
1,2000,0,1,NA
1,2001,0,1,NA
1,1966,1,1,709.6
2,1970,1,1,40
2,1998,0,1,NA
2,2000,0,1,NA
1,1940,1,2,NA
2,1944,1,1,NA
1,1972,5,2,198
2,1940,2,1,NA
2,1958,3,2,246
2,1984,5,2,180
2,1982,5,2,210
1,1946,1,1,NA
2,1950,1,1,NA
1,1969,1,2,NA
2,1972,1,2,129
2,2001,0,2,NA
2,2003,0,2,NA
1,1960,1,2,NA
2,1962,1,2,NA
1,1942,1,1,110
2,1941,1,1,NA
1,1952,1,2,NA
2,1956,1,2,NA
2,1982,1,2,275
1,1976,1,2,NA
1,2009,0,2,NA
2,2015,0,2,NA
1,1939,1,1,NA
2,1943,1,1,NA
2,1932,2,1,NA
2,1990,1,2,150
1,1986,1,2,250
2,2015,0,2,NA
1,1948,1,2,NA
2,1952,1,2,128
1,1945,1,1,NA
2,1947,1,1,NA
1,1957,1,1,NA
2,1962,1,1,NA
2,1981,1,1,158
1,1983,5,2,148
2,1954,2,1,NA
2,1975,5,1,349.2
1,1980,1,2,375
1,1939,1,2,NA
2,1946,1,1,NA
1,1968,1,1,583.3
2,1969,1,1,NA
2,1997,5,1,NA
1,2000,0,1,NA
1,1964,1,2,NA
2,1972,1,1,165
2,2001,0,1,NA
1,2002,0,1,NA
1,1962,1,1,583.3
2,1961,1,1,NA
2,1986,5,1,NA
1,1992,5,1,NA
1,1943,1,2,NA
2,1946,1,2,NA
1,1940,1,1,NA
2,1942,1,1,NA
2,1947,3,2,23
2,1954,2,2,NA
1,1942,1,2,58
2,1947,1,2,NA
1,1975,1,1,315
2,1981,1,1,NA
1,2011,0,2,NA
1,2013,0,2,NA
2,1944,3,1,NA
2,1935,2,2,NA
1,1929,1,2,NA
2,1936,1,1,NA
1,1945,1,2,NA
2,1947,1,2,NA
1,1963,1,1,NA
2,1960,1,1,300
1,1955,1,1,108
2,1956,1,1,100
2,1987,1,1,NA
2,1989,5,1,183
1,1981,1,1,566
1,1956,3,2,417
1,1970,1,1,NA
2,1972,1,1,140
1,1999,0,1,NA
1,2001,0,1,NA
2,1940,2,1,NA
1,1971,5,1,NA
2,1997,5,1,NA
1,1936,1,1,NA
2,1939,1,1,20
2,1976,5,1,179.1
2,1946,2,1,NA
2,1964,1,2,NA
1,1952,1,2,NA
1,1956,1,1,135
2,1964,1,1,191
2,1992,5,1,88
2,1995,5,1,NA
1,1963,1,1,812
2,1967,1,1,NA
2,1992,5,1,NA
2,1994,5,1,NA
1,2003,0,1,NA
1,1939,1,1,NA
2,1946,1,1,NA
1,1967,1,2,687.6
2,1966,1,2,NA
1,1993,5,2,NA
1,1996,5,2,NA
1,1970,5,2,NA
2,1942,2,1,20
1,1973,5,2,NA
1,1948,1,2,NA
1,1981,1,2,450
2,1984,5,2,140
2,1953,1,2,NA
2,1985,1,1,291
2,1931,2,1,NA
1,1969,1,2,1009.6
2,1971,1,2,83.3
1,1998,0,2,NA
2,2001,0,2,NA
1,1974,1,2,417
2,1976,1,2,NA
1,2005,0,2,NA
2,2007,0,2,NA
1,1974,1,1,758
2,1975,1,1,429
2,2004,0,1,NA
1,1971,1,2,458.3
2,1979,1,2,450
1,2005,0,2,NA
1,2007,0,2,NA
1,2013,0,2,NA
1,1969,1,2,400
2,1969,1,1,175
2,2001,0,1,NA
2,2002,0,1,NA
1,1970,1,1,1016
2,1971,1,1,NA
1,1997,5,1,NA
2,2003,0,1,NA
1,1962,1,2,83.3
2,1971,1,2,408.3
2,2007,0,2,NA
2,1960,5,1,166.7
2,1957,3,2,NA
2,1982,1,2,122
2,1985,5,2,150
1,1982,1,2,300
2,2014,0,2,NA
1,1949,1,1,NA
2,1952,1,1,NA
1,1972,5,2,NA
1,1974,1,2,200
2,1977,1,2,NA
2,2013,0,2,NA
2,1940,2,1,NA
1,1941,1,2,NA
2,1942,1,1,108
2,1935,2,1,NA
1,1953,1,1,266
2,1956,1,1,243.3
1,1983,5,1,260
1,1952,1,2,NA
2,1956,1,1,NA
1,1983,5,2,NA
1,1952,1,2,760
2,1950,1,2,NA
1,1979,1,2,504
1,1982,5,2,291.3
2,1984,1,1,NA
1,2011,0,2,NA
1,2011,0,2,NA
1,1932,1,1,NA
2,1938,1,1,NA
1,1938,1,1,NA
2,1936,1,1,NA
1,1952,1,1,NA
2,1957,1,1,NA
2,1984,1,1,307.5
2,1989,5,1,NA
1,1983,1,1,483.3
1,1967,1,1,1004.6
2,1971,1,1,NA
2,2003,0,1,NA
2,2006,0,1,NA
1,1956,1,2,215
2,1956,1,2,NA
1,1986,5,2,200
1,1947,1,2,NA
2,1953,1,2,NA
1,1963,1,1,300
2,1966,1,1,NA
1,1995,5,1,NA
2,1999,0,1,NA
1,2001,0,1,NA
1,2005,0,1,NA
1,1944,1,1,200
2,1946,1,1,NA
2,1929,2,1,NA
2,1940,2,1,NA
1,1980,1,1,252
2,1978,1,1,NA
2,2010,0,1,NA
2,2012,0,1,NA
2,1972,5,1,196
2,1951,2,2,NA
2,1972,1,2,616.6
1,1974,1,2,342.6
1,1971,1,2,341.6
2,1978,1,2,275.9
2,1952,3,1,NA
2,1952,2,1,NA
1,1979,1,1,177.7
2,1979,1,1,NA
1,1977,1,2,424.7
2,1975,1,2,NA
1,2010,0,2,NA
2,1963,2,1,140
2,1990,5,1,156
2,1992,5,1,212
2,1979,1,2,346.6
1,1979,1,1,574.6
2,2012,0,2,NA
1,1929,2,1,NA
1,1941,1,1,20
2,1944,1,1,20
1,1941,1,2,NA
2,1942,1,2,NA
1,1978,5,1,176.7
1,1974,1,2,321.6
2,1974,1,2,NA
2,2006,0,2,NA
1,2010,0,2,NA
1,1940,1,1,20
2,1942,1,1,NA
1,1981,1,2,350
2,1981,1,2,NA
1,2006,0,2,NA
2,2009,0,2,NA
1,1975,1,2,505.8
2,1975,1,2,NA
2,2003,0,2,NA
2,2006,0,2,NA
1,1964,1,2,283
2,1968,1,2,233
2,2001,0,2,NA
2,2003,0,2,NA
1,2005,0,2,NA
2,1927,2,2,NA
1,1977,1,2,360.8
1,1997,5,2,NA
1,2000,0,2,NA
2,1977,1,2,179.6
2,2001,0,2,NA
1,1961,1,2,256
2,1963,1,1,88
1,1995,5,2,NA
1,1959,1,2,NA
2,1963,1,2,NA
2,1989,5,2,68
1,1990,5,2,275.5
1,1970,1,2,337.5
2,1971,1,2,NA
2,2006,0,2,NA
1,1971,1,1,339.6
2,1975,1,1,525
2,2002,0,1,NA
1,2005,0,1,NA
1,1973,1,2,550
2,1971,1,1,140
1,2003,0,2,NA
2,2007,0,2,NA
1,1975,1,2,262
2,1977,1,2,168
1,2003,0,2,NA
1,2006,0,2,NA
1,1962,1,1,500
2,1968,1,1,120
2,1995,5,1,NA
1,1997,5,1,NA
1,1968,1,1,550
2,1974,1,1,125
2,1999,0,1,NA
2,2001,0,1,NA
1,2003,0,1,NA
1,1973,1,1,140.8
2,1974,1,1,128.7
1,2001,0,1,NA
2,2008,0,1,NA
1,1975,1,1,NA
2,1975,1,1,NA
2,2003,0,1,NA
2,2008,0,1,NA
1,1978,1,2,NA
2,1978,1,1,NA
2,2007,0,1,NA
2,2010,0,1,NA
