province,office,address,website
경남,고성경찰서,경남 고성군 고성읍 중앙로 113,http://www.gnpolice.go.kr/gs
경남,김해중부경찰서,경남 김해시 김해대로 2307,http://www.gnpolice.go.kr/ghjb
경남,김해서부경찰서,경남 김해시 장유면 계동로 175,http://www.gnpolice.go.kr/ghsb
경남,남해경찰서,경남 남해군 남해읍 화전로 89,http://www.gnpolice.go.kr/nh
경남,마산동부경찰서,경남 창원시 마산회원구 합성남17길 56,http://www.gnpolice.go.kr/msdb
경남,마산중부경찰서,경남 창원시 마산합포구 3.15대로 147,http://www.gnpolice.go.kr/msjb
경남,밀양경찰서,경도 밀양시 상남면 밀양대로 1545,http://www.gnpolice.go.kr/my
경남,사천경찰서,경남 사천시 남일로 37,http://www.gnpolice.go.kr/sacheon
경남,산청경찰서,경남 산청군 산청읍 중앙로 1,http://www.gnpolice.go.kr/sc
경남,양산경찰서,경남 양산시 물금읍 신주4길 8,http://www.gnpolice.go.kr/ys
경남,의령경찰서,경남 의령군 의령읍 충익로 53,http://www.gnpolice.go.kr/ur
경남,진주경찰서,경남 진주시 비봉로24번길 3,http://www.gnpolice.go.kr/jj
경남,진해경찰서,경남 창원시 진해구 진해대로 815,http://www.gnpolice.go.kr/jh
경남,창녕경찰서,경남 창녕군 창녕읍 종로 38-6,http://www.gnpolice.go.kr/cn
경남,창원서부경찰서,경남 창원시 의창구 우곡로 10,http://www.gnpolice.go.kr/cwsb
경남,창원중부경찰서,경남 창원시 의창구 상남로 177,http://www.gnpolice.go.kr/cwjb
경남,통영경찰서,경남 통영시 광도면 죽림3로 53,http://www.gnpolice.go.kr/ty
경남,하동경찰서,경남 하동군 하동읍 경서대로 139,http://www.gnpolice.go.kr/hd
경남,함안경찰서,경남 함안군 가야읍 가야로 85,http://www.gnpolice.go.kr/ha
경남,함양경찰서,경남 함양군 함양읍 학사루길 12,http://www.gnpolice.go.kr/hy
경남,합천경찰서,경남 합천군 합천읍 중앙로 63,http://www.gnpolice.go.kr/hc
제주,제주지방경찰청,제주시 문연로 18,http://www.jjpolice.go.kr
제주,서귀포경찰서,서귀포시 신중로 27,http://www.jjpolice.go.kr/seogwipo
제주,제주동부경찰서,제주시 동광로 66,http://www.jjpolice.go.kr/dongbu
제주,제주서부경찰서,제주시 애월읍 애조로 215,http://www.jjpolice.go.kr/seobu
